,long,lat,nifA,nifD,nifE,nifEN,nifH,nifK,nifL,nifM,nifN,nifU,nifZ,anfK,vnfH,radius,LN
1,-157.514416,74.864901,5,0,0,0,9,0,1,0,0,0,0,0,0,15,3.708050201
2,-133.49579,35.31354,19,0,0,0,9,0,11,3,0,5,0,0,0,47,4.850147602
3,-101.260721,21.025573,3,0,0,0,0,0,1,2,0,0,0,0,0,6,2.791759469
4,-87.694348,43.23428,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
5,-79.447274,44.225835,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
6,-72.033826,16.94573,0,0,0,0,0,0,1,2,0,0,0,0,0,3,2.098612289
7,-71.374388,42.422973,0,0,0,0,0,0,1,0,0,3,0,0,0,4,2.386294361
8,-70.604774,-33.430413,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1.693147181
9,-67.16182,18.119931,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1.693147181
10,-66.469417,18.442117,8,0,0,0,0,0,2,0,0,1,0,0,2,13,3.564949357
11,-63.536722,10.489463,4,0,0,0,0,0,0,0,0,0,0,0,0,4,2.386294361
12,-61.230919,10.43634,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
13,-53.131531,3.952945,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1.693147181
14,-44.595275,-18.435369,6,0,0,0,1,0,2,0,0,0,0,0,0,9,3.197224577
15,-42.920692,46.503284,8,0,0,0,4,0,1,1,0,0,0,0,0,14,3.63905733
16,-13.947613,14.644115,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
17,-8.458417,51.899406,9,0,0,0,0,0,6,0,0,7,0,0,0,22,4.091042453
18,-4.294139,55.85827,10,0,0,1,12,1,2,4,0,1,0,0,11,42,4.737669618
19,-3.290118,39.595504,7,0,0,0,1,0,0,0,1,1,0,0,0,10,3.302585093
20,-0.11626,51.508067,67,0,0,0,7,0,18,4,0,18,0,0,0,114,5.736198448
21,2.296193,48.862393,7,0,0,0,0,0,0,0,0,0,0,0,0,7,2.945910149
22,3.715337,51.058164,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
23,4.919871,52.222409,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
24,6.140559,49.673224,0,0,0,0,15,0,0,0,0,0,0,0,8,23,4.135494216
25,7.77005,46.666436,10,0,0,0,0,0,3,1,0,0,0,0,0,14,3.63905733
26,9.525931,56.242795,37,0,0,0,3,0,26,0,0,39,0,0,0,105,5.65396035
27,10.213407,56.154236,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
28,11.856717,-4.80089,2,0,0,0,0,0,2,0,0,2,0,0,0,6,2.791759469
29,11.87016,50.09871,24,0,0,0,8,0,8,1,0,16,0,0,0,57,5.043051268
30,15.798939,49.860625,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
31,16.379137,48.222202,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
32,17.273838,40.878874,1,0,0,0,0,0,3,0,0,0,0,0,0,4,2.386294361
33,18.602162,56.501833,40,0,0,1,11,0,23,6,0,6,0,0,1,88,5.477336814
34,19.144873,35.717654,5,0,0,0,1,0,0,0,1,0,0,0,0,7,2.945910149
35,21.989313,38.659338,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1.693147181
36,22.515543,-32.272934,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
37,25.215739,39.158859,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
38,25.873352,68.03848,16,0,0,0,4,0,0,0,0,3,0,0,0,23,4.135494216
39,29.61667,-4.7,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1.693147181
40,30.30565,-2.107455,0,0,0,0,1,0,0,0,0,1,0,0,1,3,2.098612289
41,30.512808,-70.220134,20,0,0,0,1,0,8,0,0,7,0,0,0,36,4.583518938
42,34.418808,-13.254871,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
43,34.895306,31.059416,3,0,0,0,0,0,0,0,0,0,0,0,1,4,2.386294361
44,34.987266,-6.300946,7,0,0,0,2,0,24,0,0,34,0,0,0,67,5.204692619
45,37.580474,19.158531,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1.693147181
46,57.633833,67.607833,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
47,58.73164,22.48056,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
48,72.924423,-67.599606,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
49,79.367621,20.6332,1,0,0,0,1,0,2,0,0,1,0,0,0,5,2.609437912
50,84.705109,-62.206022,2,0,0,0,2,0,0,1,0,0,0,0,0,5,2.609437912
51,90.72833,23.762025,1,0,0,0,1,0,1,0,0,0,0,0,0,3,2.098612289
52,95.25214,11.017326,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
53,99.623286,2.081227,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
54,101.682256,3.147094,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
55,103.906217,1.348177,5,0,0,0,3,0,6,2,0,4,0,0,1,21,4.044522438
56,119.437247,-5.135187,1,0,0,0,0,0,1,0,0,1,0,0,0,3,2.098612289
57,128.352761,37.565845,5,0,0,0,1,0,7,4,0,2,0,0,0,19,3.944438979
58,139.159727,35.244149,2,0,0,0,0,0,4,1,0,0,0,0,0,7,2.945910149
59,146.750924,-32.06219,5,0,0,0,2,0,2,1,0,0,0,0,1,11,3.397895273
60,175.026564,-39.925702,9,0,0,0,4,0,1,2,0,0,0,0,2,18,3.890371758
61,116.422191,39.919025,13,0,0,0,5,0,25,4,0,31,0,0,1,79,5.369447852
62,121.60447,31.210198,39,0,0,0,18,0,18,4,0,23,0,0,1,103,5.634728988
63,-118.956275,37.133088,93,0,0,0,18,1,50,8,0,43,0,0,0,213,6.361292166
64,-105.76482,39.606555,24,0,0,0,0,0,6,0,0,8,0,0,0,38,4.63758616
65,-89.404177,43.099081,619,0,1,0,83,3,344,156,2,104,1,1,4,1318,8.183870715
66,-81.475621,42.025745,261,1,1,0,54,3,228,68,0,65,0,0,4,685,7.529418838
67,-76.608966,39.28363,44,0,0,0,16,0,38,4,0,27,0,0,1,130,5.86753445
68,-124.871929,54.502869,26,0,0,0,2,0,7,1,0,2,0,0,0,38,4.63758616
69,-114.493584,55.148951,38,0,0,0,7,0,16,5,2,6,0,0,0,74,5.304065093
70,-113.448649,53.552901,20,0,0,0,1,0,15,4,0,0,0,0,0,40,4.688879454
71,-80.543845,43.475799,46,0,0,0,11,1,58,28,1,14,0,0,0,159,6.068904202
72,-42.920692,46.503284,16,0,0,0,6,0,12,3,0,1,0,0,2,40,4.688879454
